država,meja
Albania,Montenegro
Albania,Macedonia
Albania,Greece
Andorra,Spain
Andorra,France
Armenia,Azerbaijan
Armenia,Turkey
Armenia,Georgia
Austria,Italy
Austria,Czech Republic
Austria,Slovenia
Austria,Germany
Austria,Hungary
Austria,Switzerland
Austria,Slovakia
Azerbaijan,Turkey
Azerbaijan,Georgia
Azerbaijan,Armenia
Azerbaijan,Russia
Belarus,Ukraine
Belarus,Russia
Belarus,Poland
Belarus,Lithuania
Belarus,Latvia
Belgium,The Netherlands
Belgium,France
Belgium,Germany
Bosnia & Herzegovina,Montenegro
Bosnia & Herzegovina,Croatia
Bosnia & Herzegovina,Serbia
Bulgaria,Romania
Bulgaria,Macedonia
Bulgaria,Serbia
Bulgaria,Turkey
Bulgaria,Greece
Croatia,Serbia
Croatia,Bosnia & Herzegovina
Croatia,Slovenia
Croatia,Hungary
Croatia,Montenegro
Czech Republic,Poland
Czech Republic,Austria
Czech Republic,Germany
Czech Republic,Slovakia
Denmark,Germany
Estonia,Russia
Estonia,Latvia
Finland,Sweden
Finland,Norway
Finland,Russia
France,Belgium
France,Italy
France,Andorra
France,France
France,Germany
France,Spain
France,Monaco
France,Switzerland
Georgia,Azerbaijan
Georgia,Turkey
Georgia,Armenia
Georgia,Russia
Germany,Austria
Germany,Belgium
Germany,Czech Republic
Germany,Denmark
Germany,Poland
Germany,France
Germany,The Netherlands
Germany,Switzerland
Greece,Turkey
Greece,Macedonia
Greece,Bulgaria
Greece,Albania
Hungary,Romania
Hungary,Austria
Hungary,Ukraine
Hungary,Croatia
Hungary,Serbia
Hungary,Slovenia
Hungary,Slovakia
Ireland,United Kingdom
Italy,Austria
Italy,San Marino
Italy,France
Italy,Slovenia
Italy,Switzerland
Latvia,Estonia
Latvia,Lithuania
Latvia,Belarus
Latvia,Russia
Lithuania,Poland
Lithuania,Belarus
Lithuania,Russia
Lithuania,Latvia
Moldova,Romania
Moldova,Ukraine
Monaco,France
Montenegro,Serbia
Montenegro,Croatia
Montenegro,Bosnia & Herzegovina
Montenegro,Albania
The Netherlands,Belgium
The Netherlands,Germany
Macedonia,Serbia
Macedonia,Bulgaria
Macedonia,Greece
Macedonia,Albania
Norway,Finland
Norway,Sweden
Norway,Russia
Poland,Ukraine
Poland,Russia
Poland,Czech Republic
Poland,Lithuania
Poland,Germany
Poland,Belarus
Poland,Slovakia
Portugal,Spain
Romania,Ukraine
Romania,Moldova
Romania,Serbia
Romania,Hungary
Romania,Bulgaria
Russia,Estonia
Russia,Georgia
Russia,Ukraine
Russia,Azerbaijan
Russia,Poland
Russia,Lithuania
Russia,Norway
Russia,Latvia
Russia,Finland
Russia,Belarus
San Marino,Italy
Serbia,Romania
Serbia,Macedonia
Serbia,Croatia
Serbia,Bosnia & Herzegovina
Serbia,Hungary
Serbia,Montenegro
Serbia,Bulgaria
Slovakia,Austria
Slovakia,Ukraine
Slovakia,Czech Republic
Slovakia,Poland
Slovakia,Hungary
Slovenia,Austria
Slovenia,Croatia
Slovenia,Italy
Slovenia,Hungary
Spain,Andorra
Spain,France
Spain,Portugal
Sweden,Finland
Sweden,Norway
Switzerland,Austria
Switzerland,France
Switzerland,Italy
Switzerland,Germany
Turkey,Georgia
Turkey,Azerbaijan
Turkey,Armenia
Turkey,Bulgaria
Turkey,Greece
Ukraine,Romania
Ukraine,Russia
Ukraine,Moldova
Ukraine,Poland
Ukraine,Hungary
Ukraine,Belarus
Ukraine,Slovakia
United Kingdom,Ireland
Cyprus,[]
Australia,[]
Malta,[]
Iceland,[]
Israel,[]
